|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
| TestNo. | Action                                                                       | Inputs                                                                     | Expected Output                                    | Actual Output                                      | Test Browser | Test Result | Test Comments                                                                  |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       1 | Launch Home Page                                                             | Mouse Click HomePage.html file                                             | HomePage opened                                    | HomePage opened                                    | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       2 | Use search bar                                                               | Input("Nigerian Fried Rice")                                               | Nigerian Fried Rice card displayed                 | Nigerian Fried Rice card displayed                 | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       3 | Use search bar                                                               | Input("Pancake & Corned beef sauce")                                       | Pancake & Corned beef sauce card displayed         | Pancake & Corned beef sauce card displayed         | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       4 | Use search bar                                                               | Input("Nigerian Egg sauce")                                                | Nigerian Egg sauce card displayed                  | Nigerian Egg sauce card displayed                  | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       5 | Use search bar                                                               | Input("Chicken Shawarma")                                                  | Chicken Shawarma card displayed                    | Chicken Shawarma card displayed                    | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       6 | Use search bar                                                               | Input("ewpghnewo")                                                         | Nothing displayed                                  | Nothing displayed                                  | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       7 | Click Nigerian Fried Rice Card                                               | Mouse click Nigerian Fried Rice Card                                       | Nigerian Fried Rice page opened                    | Nigerian Fried Rice page opened                    | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       8 | Open and view the first accordion in the Nigerian fried Rice page            | Mouse click the First accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|       9 | Open and view the Second accordion in the Nigerian fried Rice page           | Mouse click the Second accordion in the Nigerian fried Rice page           | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      10 | Open and view the Third accordion in the Nigerian fried Rice page            | Mouse click the Third accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      11 | Open and view the Fourth accordion in the Nigerian fried Rice page           | Mouse click the Fourth accordion in the Nigerian fried Rice page           | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      12 | Open and view the Fifth accordion in the Nigerian fried Rice page            | Mouse click the Fifth accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      13 | Open and view the Sixth accordion in the Nigerian fried Rice page            | Mouse click the Sixth accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      14 | Open and view the Seventh accordion in the Nigerian fried Rice page          | Mouse click the Seventh accordion in the Nigerian fried Rice page          | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      15 | Open and view the eigth accordion in the Nigerian fried Rice page            | Mouse click the Eigth accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      16 | Open and view the ninth accordion in the Nigerian fried Rice page            | Mouse click the Ninth accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      17 | Open and view the tenth accordion in the Nigerian fried Rice page            | Mouse click the Tenth accordion in the Nigerian fried Rice page            | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      18 | Open and view the eleventh accordion in the Nigerian fried Rice page         | Mouse click the Eleventh accordion in the Nigerian fried Rice page         | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      19 | Open and view the twelfth accordion in the Nigerian fried Rice page          | Click the Twelfth accordion in the Nigerian fried Rice page                | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      20 | Watch video in the Nigerian fried Rice page                                  | Mouse click video play button                                              | Video playes with audio                            | Video playes with audio                            | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      21 | Listen to audio player in the Nigeria fried Rice page                        | Mouse click audio play button                                              | Audio plays                                        | Audio plays                                        | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      22 | Attempt quiz in the Nigerian fried Rice page                                 | Mouse clicks options                                                       | Options selected                                   | Options selected                                   | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      23 | Submiting the Quiz in the Nigerian Fried rice page                           | Mouse clicks submit button                                                 | Quiz submitted                                     | Quiz submitted                                     | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      24 | Click Pancake & Corned beef sauce Card                                       | Mouse click Pancake & Corned beef sauce Card                               | Pancake & Corned beef sauce page opened            | Pancake & Corned beef sauce page opened            | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      25 | Open and view the first accordion in the Pancake & Corned beef sauce page    | Mouse click the First accordion in the Pancake & Corned beef sauce page    | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      26 | Open and view the Second accordion in the Pancake & Corned beef sauce page   | Mouse click the Second accordion in the Pancake & Corned beef sauce page   | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
|      27 | Open and view the Third accordion in thePancake & Corned beef sauce page     | Mouse click the Third accordion in the Pancake & Corned beef sauce page    | Accordion is opened and its contents are displayed | Accordion is opened and its contents are displayed | FireFox      | Pass        | Test Passed                                                                    |
|---------|------------------------------------------------------------------------------|----------------------------------------------------------------------------|----------------------------------------------------|----------------------------------------------------|--------------|-------------|--------------------------------------------------------------------------------|
